"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",4108,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",8372,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",983,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",905,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",1888,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",23548,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",22462,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",46010,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",13955,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",13171,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",27126,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",1909,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",1721,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",3630,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",7242,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",6935,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",14177,,
"ITG","Isole","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",23912,,
"ITG","Isole","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",22488,,
"ITG","Isole","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",46400,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",19488,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",18195,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",37683,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",4424,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",4293,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",8717,,
"ITE","Centro","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",40421,,
"ITF","Sud","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",50602,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",22746,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",4316,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",12555,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",4427,,
"ITC","Nord-ovest","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",58907,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y1","1 anni","99","totale","2020","2020",893,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",20256,,
"IT","Italia","JAN","popolazione al 1º gennaio","1","maschi","Y1","1 anni","99","totale","2020","2020",224617,,
